price,rooms,area,floor,District,longitude,latitude,building size (floors)
460,1,40.0,1,Justiniškės,25.2221629,54.7175726,1
500,1,25.0,2,Šnipiškės,25.2668422,54.7044446,2
720,2,40.0,2,Šnipiškės,25.2668422,54.7044446,2
820,3,69.48,2,Fabijoniškės,25.246433,54.731814,5
670,3,59.79,1,Pašilaičiai,25.2206319,54.7411864,9
850,3,81.51,6,Pašilaičiai,25.2256323,54.7405473,9
1400,5,120.0,3,Žirmūnai,25.3047908,54.7056893,3
1200,2,51.51,10,Šnipiškės,25.2725536,54.7004606,11
650,1,27.0,2,Senamiestis,25.2817712,54.6892593,3
800,2,48.0,5,Naujamiestis,25.254835,54.670731,7
650,4,74.0,2,Karoliniškės,25.205018,54.688955,5
690,2,61.0,5,Lazdynėliai,25.2148876,54.666674,9
800,2,41.5,5,Žvėrynas,25.2538475,54.6997206,6
320,1,12.0,4,Naujamiestis,25.263597,54.69795,5
1100,3,65.0,1,Naujamiestis,25.264768,54.680141,4
260,1,16.0,2,Baltupiai,25.280134,54.728274,3
700,2,44.0,5,Šeškinė,25.2540264,54.7068111,7
500,1,16.0,1,Senamiestis,25.2817712,54.6892593,3
320,1,21.0,4,Naujamiestis,25.254835,54.670731,5
1150,3,54.0,5,Šnipiškės,25.2770623,54.7121167,6
750,2,50.0,2,Naujamiestis,25.2629171,54.6806792,4
650,2,40.99,4,Baltupiai,25.2784789,54.7275851,4
950,2,60.0,2,Senamiestis,25.285116,54.6772258,3
480,1,32.41,3,Šnipiškės,25.2817254,54.6949273,5
1100,2,55.14,4,Užupis,25.3008276,54.6812167,4
1780,3,100.0,4,Senamiestis,25.287693,54.683127,6
990,3,93.0,4,Antakalnis,25.312009,54.705407,5
1200,4,82.0,1,Lazdynėliai,25.2158687,54.6671298,3
750,2,41.0,2,Naujamiestis,25.245021,54.667674,4
1000,2,46.0,4,Naujamiestis,25.2659857,54.6866673,5
200,1,14.0,4,Lazdynai,25.2164788,54.6787988,5
250,1,25.0,1,Baltupiai,25.280134,54.728274,2
390,1,12.0,2,Antakalnis,25.3383781,54.7087955,2
890,2,47.0,3,Baltupiai,25.2831395,54.7142794,8
1750,3,61.0,5,Senamiestis,25.2824605,54.6865081,6
650,2,56.0,2,Pašilaičiai,25.219637,54.7387996,9
1600,3,67.0,5,Šnipiškės,25.282158,54.6947179,8
700,1,36.0,3,Senamiestis,25.2835375,54.6766768,4
430,1,30.0,1,Žirmūnai,25.3050482,54.7157121,9
650,2,60.0,1,Antakalnis,25.312009,54.705407,2
1500,3,63.0,1,Markučiai,25.319347221199315,54.67545065,5
750,2,63.0,1,Pašilaičiai,25.2162652,54.7321521,5
950,2,61.4,4,Senamiestis,25.2778908,54.6850306,4
950,3,82.2,2,Antakalnis,25.3333534,54.7192002,5
890,2,45.16,4,Markučiai,25.3180472,54.6763855,6
780,2,55.0,4,Visoriai,25.2500488,54.7434059,6
390,1,32.57,3,Naujamiestis,25.2588027,54.6703567,5
800,1,35.0,5,Šnipiškės,25.278242,54.6973462,11
850,2,58.0,7,Šnipiškės,25.2706146,54.6975998,29
350,1,10.0,1,Senamiestis,25.2863997,54.6766411,3
700,2,40.0,2,Naujamiestis,25.264768,54.680141,5
