index,address,price,rooms,area,floor,District,Street,Country,longitude,latitude
117,Pavilnys Kalnėnų g.,690,2,53.0,1/1,Pavilnys,Kalnėnų g.,Lithuania,25.3448084,54.6593134
118,Naujamiestis Kauno g.,650,3,67.0,1/1,Naujamiestis,Kauno g.,Lithuania,25.2626184,54.6705058
119,Justiniškės Justiniškių g.,460,1,40.0,1/1,Justiniškės,Justiniškių g.,Lithuania,25.2221629,54.7175726
120,Šnipiškės Žalgirio g.,500,1,25.0,2/2,Šnipiškės,Žalgirio g.,Lithuania,25.2668422,54.7044446
121,Šnipiškės Žalgirio g.,720,2,40.0,2/2,Šnipiškės,Žalgirio g.,Lithuania,25.2668422,54.7044446
122,Fabijoniškės P.Žadeikos g.,820,3,69.48,2/5,Fabijoniškės,P.Žadeikos g.,Lithuania,25.246433,54.731814
123,Pašilaičiai Eitminų g.,670,3,59.79,1/9,Pašilaičiai,Eitminų g.,Lithuania,25.2206319,54.7411864
124,Pašilaičiai Ukmergės g.,850,3,81.51,6/9,Pašilaičiai,Ukmergės g.,Lithuania,25.2256323,54.7405473
125,Žirmūnai Minties g.,1400,5,120.0,3/3,Žirmūnai,Minties g.,Lithuania,25.3047908,54.7056893
126,Šnipiškės Daugėliškio g.,1200,2,51.51,10/11,Šnipiškės,Daugėliškio g.,Lithuania,25.2725536,54.7004606
127,Senamiestis Tilto g.,650,1,27.0,2/3,Senamiestis,Tilto g.,Lithuania,25.2817712,54.6892593
128,Naujamiestis Skroblų g.,800,2,48.0,5/7,Naujamiestis,Skroblų g.,Lithuania,25.254835,54.670731
129,Karoliniškės Vido Maciulevičiaus g.,650,4,74.0,2/5,Karoliniškės,Vido Maciulevičiaus g.,Lithuania,25.205018,54.688955
130,Lazdynėliai Jonažolių g.,690,2,61.0,5/9,Lazdynėliai,Jonažolių g.,Lithuania,25.2148876,54.666674
131,Žvėrynas Stumbrų g.,800,2,41.5,5/6,Žvėrynas,Stumbrų g.,Lithuania,25.2538475,54.6997206
132,Naujamiestis Geležinio Vilko g.,320,1,12.0,4/5,Naujamiestis,Geležinio Vilko g.,Lithuania,25.263597,54.69795
133,Naujamiestis M.K.Čiurlionio g.,1100,3,65.0,1/4,Naujamiestis,M.K.Čiurlionio g.,Lithuania,25.264768,54.680141
134,Žirmūnai Raitininkų g.,650,2,52.0,1/7,Žirmūnai,Raitininkų g.,Lithuania,24.11797,54.23549
